""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA2101862""	""A0005""	""RIVM""	""SCA190328 waterkwaliteit meten met sensoren - project WaterS""	""""	""""	""31-08-2021""	""2021/08""	""226,08""	""273,56""	""273,56""	""0,00""
""VFA2101861""	""DE1600068""	""AKRON""	""SCA180221 Mademoiselle Productions SPRL -SP8""	""""	""George Boersma""	""01-09-2021""	""2021/09""	""167,00""	""167,00""	""167,00""	""0,00""
""VFA2101860""	""DE1600035""	""Gemeente Bierbeek""	""SCA160036 Gemeente Bierbeek, geluid""	""""	""George Boersma""	""31-08-2021""	""2021/08""	""912,00""	""912,00""	""912,00""	""0,00""
""VFA2101859""	""DE1600041""	""ATKB""	""SCA160043 ATKB  water""	""""	""Omar Jarmohamed""	""31-08-2021""	""2021/08""	""820,80""	""993,17""	""993,17""	""0,00""
""VFA2101858""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180269 Boot 3x LV5""	""""	""""	""31-08-2021""	""2021/08""	""385,20""	""466,09""	""466,09""	""0,00""
""VFA2101857""	""G0019""	""Omgevingsdienst West-Holland""	""SCA200455 2xSPC""	""""	""""	""31-08-2021""	""2021/08""	""2.670,60""	""3.231,43""	""3.231,43""	""0,00""
""VFA2101856""	""G0019""	""Omgevingsdienst West-Holland""	""SCA190324 HMRI Module""	""""	""""	""01-09-2021""	""2021/09""	""300,00""	""363,00""	""363,00""	""0,00""
""VFA2101855""	""DE1600012""	""Waterschap Rijn en IJssel""	""SCA180241 Onderhandse Aanbesteding""	""""	""Irene Barten""	""31-08-2021""	""2021/08""	""8.324,64""	""10.072,81""	""10.072,81""	""0,00""
""VFA2101854""	""B0011""	""Gemeente Amsterdam p/a Waternet""	""SCA190349 Waterdecks Amsterdam""	""""	""Mirjam Stevens""	""31-08-2021""	""2021/08""	""827,60""	""1.001,40""	""1.001,40""	""0,00""
""VFA2101853""	""DE1600018""	""Oasen""	""SCA170093 Oasen, Water""	""""	""Hans Mulder""	""31-08-2021""	""2021/08""	""13.508,34""	""16.345,09""	""16.345,09""	""0,00""
""VFA2101852""	""DE1800161""	""Gemeente Valkenswaard""	""SCA180243 Geluidsmonitoring Eurocirquit""	""""	""""	""31-08-2021""	""2021/08""	""1.387,08""	""1.678,37""	""1.678,37""	""0,00""
""VFA2101851""	""DE1600016""	""Omgevingsdienst Regio Utrecht""	""SCA180266 1x complete klasse 1 set mobiel inzetbaar""	""""	""""	""31-08-2021""	""2021/08""	""1.277,10""	""1.545,29""	""1.545,29""	""0,00""
""VFA2101850""	""DE1700112""	""Gemeente Barneveld""	""SCA180251 3x klasse 1 Geluidsmeters""	""""	""Mirjam Stevens""	""31-08-2021""	""2021/08""	""2.011,26""	""2.433,62""	""2.433,62""	""0,00""
""VFA2101849""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180265 13 waterniveau meters""	""""	""""	""31-08-2021""	""2021/08""	""1.669,20""	""2.019,73""	""2.019,73""	""0,00""
""VFA2101848""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180263 7 waterniveau meters inclusief portal""	""""	""Irene Barten""	""31-08-2021""	""2021/08""	""898,80""	""1.087,55""	""1.087,55""	""0,00""
""VFA2101847""	""DE1900204""	""Designer Outlet Centre Roermond B.V""	""SCA190333 NP2""	""""	""Irene Barten""	""31-08-2021""	""2021/08""	""4.619,12""	""5.589,14""	""5.589,14""	""0,00""
""VFA2101846""	""DE1900201""	""ZuidPlus VOF""	""SCA190318 Zuid As""	""""	""""	""31-08-2021""	""2021/08""	""1.569,97""	""1.899,66""	""1.899,66""	""0,00""
""VFA2101845""	""DE1800176""	""Sweco Nederland B.V.""	""SCA200426 3x LV5""	""""	""""	""31-08-2021""	""2021/08""	""495,60""	""599,68""	""599,68""	""0,00""
""VFA2101844""	""DE1800172""	""Stadion Feijenoord N.V.""	""SCA180256 Feijenoord Stadion - de Kuip""	""""	""George Boersma""	""31-08-2021""	""2021/08""	""2.621,09""	""3.171,52""	""3.171,52""	""0,00""
""VFA2101843""	""A0002""	""Alcedo Beheer BV""	""SCA200419 UP1""	""""	""""	""31-08-2021""	""2021/08""	""53,01""	""64,14""	""64,14""	""0,00""
""VFA2101842""	""A0002""	""Alcedo Beheer BV""	""SCA170090 4x LV4""	""""	""Omar Jarmohamed""	""31-08-2021""	""2021/08""	""598,56""	""724,26""	""724,26""	""0,00""
""VFA2101841""	""DE1800176""	""Sweco Nederland B.V.""	""SCA200422 11x LV5""	""""	""""	""30-08-2021""	""2021/08""	""1.156,40""	""1.399,24""	""1.399,24""	""0,00""
""VFA2101840""	""DE1800176""	""Sweco Nederland B.V.""	""SCA200417 3x LV5""	""""	""""	""30-08-2021""	""2021/08""	""660,80""	""799,57""	""799,57""	""0,00""
""VFA2101839""	""DE1800176""	""Sweco Nederland B.V.""	""SCA200416 8x LV5""	""""	""""	""30-08-2021""	""2021/08""	""1.486,80""	""1.799,03""	""1.799,03""	""0,00""
""VFA2101838""	""DE1600012""	""Waterschap Rijn en IJssel""	""SCA170129 WRIJ - Uitbreiding 12 waterniveaumeters""	""""	""Hans Mulder""	""30-08-2021""	""2021/08""	""1.221,88""	""1.478,47""	""1.478,47""	""0,00""
""VFA2101837""	""DE1600012""	""Waterschap Rijn en IJssel""	""SCA190346 10x LV5 waterniveaumeters-project Hupsel""	""""	""Irene Barten""	""30-08-2021""	""2021/08""	""1.056,70""	""1.278,61""	""1.278,61""	""0,00""
""VFA2101836""	""DE2100277""	""Bv Jahmaarallee Café Allee""	""""	""""	""Irene Barten""	""30-08-2021""	""2021/08""	""895,00""	""895,00""	""895,00""	""0,00""
""VFA2101835""	""H0063""	""Karement bvba""	""""	""""	""""	""30-08-2021""	""2021/08""	""170,00""	""170,00""	""170,00""	""0,00""
