""Volgnr.""	""Icon (on)vergrendeld""	""Crediteur""	""Project""	""Bron verkoop""	""Icon product""	""Lev. bestelcode (SKU)""	""Productomschrijving""	""Aantal""	""Prijs net. ink. (p.e.)""	""Tot. ink. ex. BTW (CC)""
""IOA2500271""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""20,0""	""146,90""	""2.938,00""
""IOA2400270""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2400269""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615SC""	""ER34615, 3.6V, 38Ah with 5 cm
wire and with a JST PHR-2
connector or Wurth
620002113322 (WR-WTB 2.0
mm Female Terminal Housing, 2
pin""	""100,0""	""6,90""	""621,00""
""IOA2400268""	""""	""SUNPE LIMITED""	""""	""""	""""	""TPLVDOP""	""watermeter_enclosure_two_part_lid_v1_assembly_body
watermeter_enclosure_two_part_lid_v1_assembly_top""	""3.000,0""	""0,80""	""2.160,00""
""IOA2400268""	""""	""SUNPE LIMITED""	""""	""""	""""	""MPS-VERZEND""	""Freight""	""1,0""	""1.523,00""	""1.370,70""
""IOA2400267""	""""	""Sinus Messtechnik""	""""	""""	""""	""LEMO7 extension, 5m 961014.1D LEMO7 male - LEMO7 female""	""LEMO7 extension, 5m 961014.1D LEMO7 male - LEMO7 female""	""1,0""	""277,50""	""277,50""
""IOA2400266""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615SC""	""ER34615, 3.6V, 38Ah with 5 cm
wire and with a JST PHR-2
connector or Wurth
620002113322 (WR-WTB 2.0
mm Female Terminal Housing, 2
pins)""	""20,0""	""6,90""	""124,20""
""IOA2400266""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""2.000,0""	""1,40""	""2.520,00""
